product_code,name_ko,name_en,name_ru,barcode,brand,volume,pcs_per_carton,width_cm,height_cm,depth_cm,cbm,weight_kg,hscode,status
FJMK005,"프레쥬 어성초 포어 멜팅 겔 마스크","Fraijour Heartleaf Pore Melting Gel Mask 75ml","[Fraijour] Очищающая маска для лица ХАУТТЮЙНИЯ Heartleaf Pore Melting Gel Mask, 75 мл",8802929009315,FRAIJOUR,,77,77.00,6.70,8.70,0.033660,,3307.90-4000,active
FJMK006,"프레쥬 레틴 콜라겐 3D 코어 래디언스 마스크","Fraijour Retin-Collagen 3D Core Radiance Mask 75ml","[Fraijour] Укрепляющая маска для лица КОЛЛАГЕН/РЕТИНОЛ Retin-Collagen 3D Core Radiance Mask, 75 мл",8802929009322,FRAIJOUR,,77,77.00,7.40,8.40,0.033660,,3304.99-9000,active
FJMK007,"프레쥬 바이옴 5-락토 리텍스쳐라이징 로지 마스크","Fraijour Biome 5-Lacto Retexturizing Rosy Mask 75g","[Fraijour] Biome 5-Lacto Retexturizing Rosy Mask Обновляющая маска для лица ПРОБИОТИКИ, 75 гр",8802929009346,FRAIJOUR,,77,77.00,8.00,9.00,0.033660,,3307.90-4000,active
FJMK008,"프레쥬 알케믹 진세노사이드 엑소 랩 마스크 80g","Fraijour Alchemic Ginsenoside Exo Wrap Mask 80g","[Fraijour] Антивозрастная маска-плёнка КРАСНЫЙ ЖЕНЬШЕНЬ Alchemic Ginsenoside Exo-Wrap Mask, 80 мл",8802929010632,FRAIJOUR,,77,77.00,8.20,9.20,0.033660,,3304.99-9000,active
FJMK5T1,"프레쥬 자연약쑥 시트 마스크","Fraijour Origianal Herb Wormwood Sheet Mask 23ml * 5EA","[Fraijour] НАБОР Тканевая маска для лица РАСТИТЕЛЬНЫЕ ЭКСТРАКТЫ Original Herb Wormwood Sheet Mask, 5 шт * 23 мл",8802929005904,FRAIJOUR,,48,48.00,8.18,9.18,0.036800,,3307.90-4000,active
FJMT001,"프레쥬 레틴 콜라겐 3D 코어 앰플 미스트 200ml","Fraijour Retin-Collagen 3D Core Ampoule Mist 200ml","[Fraijour] Спрей-сыворотка для лица КОЛЛАГЕН/РЕТИНОЛ Retin-Collagen 3D Core Ampoule Mist, 200 мл",8802929008509,FRAIJOUR,,60,60.00,16.00,17.00,0.038710,,3304.99-1000,active
FJMT002,"프레쥬 프로 모이스처 크림 미스트 120ml","Fraijour Pro moisture Cream Mist 120ml","[Fraijour] Увлажняющий мист для лица Pro moisture Cream Mist, 120 мл",8802929009636,FRAIJOUR,,104,104.00,18.50,19.50,0.033660,,3304.99-1000,active
FJOF001,"프레쥬 레틴 콜라겐 3D 코어 오일 투 폼 클렌저","Fraijour Retin-Collagen 3D Core Oil to Foam Cleanser 210g","[Fraijour] Гидрофильное масло-пенка для лица КОЛЛАГЕН/РЕТИНОЛ Retin-Collagen 3D Core Oil to Foam Cleanser, 210 мл",8802929009476,FRAIJOUR,,60,60.00,16.00,17.00,0.033660,,3401.30-0000,active
FJOF002,"프레쥬 알케믹 진세노사이드 오일 투 폼 클렌져 210g","Fraijour Alchemic Ginsenoside Oil to Foam Cleanser 210g","[Fraijour] Антивозрастное гидрофильное масло-пенка КРАСНЫЙ ЖЕНЬШЕНЬ Alchemic Ginsenoside Oil to Foam Cleanser, 210 мл",8802929009889,FRAIJOUR,,60,60.00,16.00,17.00,0.033660,,3401.30-0000,active
FJOFM02,"프레쥬 알케믹 진세노사이드 오일 투 폼 클렌져 30ml","Fraijour Alchemic Ginsenoside Oil to Foam Cleanser 30ml","[Fraijour] Антивозрастное гидрофильное масло-пенка КРАСНЫЙ ЖЕНЬШЕНЬ Alchemic Ginsenoside Oil to Foam Cleanser, 30 мл",8802929009810,FRAIJOUR,,350,350.00,12.00,13.00,0.033660,,3401.30-0000,active
