product_id,name,spec,bal_qty,warehouse_code,barcode,box_qty
MLHC3T2,"미미로린스 모먼트 래디언스 핸드 포마드크림 3종 세트","아로마틱 리플렉션+드로우 인 선셋+글로우 온 페탈",0,W104,,1
MLHCK18,"미미로린스 모먼트 래디언스 핸드 포마드크림- 아로마틱 리플렉션 (카톡용)",60ml,0,W104,,1
MLHCK19,"미미로린스 모먼트 래디언스 핸드 포마드크림- 드로우인 선셋 (카톡용)",60ml,0,W104,,1
MLHCK20,"미미로린스 모먼트 래디언스 핸드 포마드크림- 글로우온 페탈 (카톡용)",60ml,0,W104,,1
MLHD001,"미미로린스 모먼트 래디언스 핸드솝 에테리얼 그레이스","미미로린스 모먼트 래디언스 핸드솝 에테리얼 그레이스 [300ml]",1664,W104,,1
MLHD002,"미미로린스 모먼트 래디언스 핸드솝 아주르 프로스티","미미로린스 모먼트 래디언스 핸드솝 아주르 프로스티 [300ml]",1629,W104,,1
MLHD003,"미미로린스 모먼트 래디언스 핸드솝 애프터 레인","미미로린스 모먼트 래디언스 핸드솝 애프터 레인 [300ml]",1684,W104,,1
MLHS001,"미미로린스 씬트 리메인 프로테인 헤어 세럼 - 프리지아 로맨스","미미로린스 씬트 리메인 프로테인 헤어 세럼 - 프리지아 로맨스 [100ml]",-3,W104,,1
MLHS002,"미미로린스 씬트 리메인 프로테인 헤어 세럼 - 프레쉬 라임","미미로린스 씬트 리메인 프로테인 헤어 세럼 - 프레쉬 라임 [100ml]",-14,W104,,1
MLHS003,"미미로린스 씬트 리메인 프로테인 헤어 세럼 - 어딕씨옹","미미로린스 씬트 리메인 프로테인 헤어 세럼 - 어딕씨옹 [100ml]",-2,W104,,1
MLHS005,"미미로린스 씬트 리메인 프로테인 헤어 세럼 - 라즈베리앤만다린",100ml,0,W104,,1
MLHW001,"미미로린스 모먼트 플랜트 핸드워시- 헤이그린","미미로린스 모먼트 플랜트 핸드워시- 헤이그린 [500mL]",763,W104,,1
MLHW002,"미미로린스 모먼트 플랜트 핸드워시- 베리비트","미미로린스 모먼트 플랜트 핸드워시- 베리비트 [500mL]",1078,W104,,1
MLHW003,"미미로린스 모먼트 플랜트 핸드워시- 해피텐져린","미미로린스 모먼트 플랜트 핸드워시- 해피텐져린 [500mL]",2201,W104,,1
MLHW004,"미미로린스 모먼트 플랜트 핸드워시- 퓨어피치","미미로린스 모먼트 플랜트 핸드워시- 퓨어피치 [500mL]",1026,W104,,1
MLLS001,"미미로린스 하니수플레 리퀴드 핸드솝- 프리지아 로맨스",500ml,0,W104,,1
MLLS002,"미미로린스 하니수플레 리퀴드 핸드솝- 프레쉬 라임",500ml,0,W104,,1
MLLS003,"미미로린스 하니수플레 리퀴드 핸드솝- 퀸스 플라워","미미로린스 하니수플레 리퀴드 핸드솝- 퀸스 플라워 [500ml]",-39,W104,,1
MLLS004,"미미로린스 하니수플레 리퀴드 핸드솝- 우드 세이지","미미로린스 하니수플레 리퀴드 핸드솝- 우드 세이지 [500ml]",-15,W104,,1
MLLS005,"미미로린스 하니수플레 리퀴드 핸드솝- 세인트 로즈","미미로린스 하니수플레 리퀴드 핸드솝- 세인트 로즈 [500ml]",-1,W104,,1
MLLS006,"미미로린스 하니수플레 리퀴드 핸드솝- 네트와제",500ml,0,W104,,1
MLPF001,"미미로린스 모먼트 오디너리 퍼퓸 NO.01 이노센트","미미로린스 모먼트 오디너리 퍼퓸 NO.01 이노센트 [20ml]",144,W104,,1
MLPF002,"미미로린스 모먼트 오디너리 퍼퓸 NO.02 스윗피","미미로린스 모먼트 오디너리 퍼퓸 NO.02 스윗피 [20ml]",-1506,W104,,1
MLPF003,"미미로린스 모먼트 오디너리 퍼퓸 NO.03 프레쉬코튼","미미로린스 모먼트 오디너리 퍼퓸 NO.03 프레쉬코튼 [20ml]",-539,W104,,1
MLPF004,"미미로린스 모먼트 오디너리 퍼퓸 NO.04 로즈부쉬","미미로린스 모먼트 오디너리 퍼퓸 NO.04 로즈부쉬 [20ml]",545,W104,,1
MLPF005,"미미로린스 모먼트 오디너리 퍼퓸 NO.05 멜리플루어스","미미로린스 모먼트 오디너리 퍼퓸 NO.05 멜리플루어스 [20ml]",-1065,W104,,1
MLPF006,"미미로린스 모먼트 래디언스 퍼퓸- 애프터 레인","미미로린스 모먼트 래디언스 퍼퓸- 애프터 레인 [48ml]",515,W104,,1
MLPF007,"미미로린스 모먼트 래디언스 퍼퓸- 아로마틱 리플렉션","미미로린스 모먼트 래디언스 퍼퓸- 아로마틱 리플렉션 [48ml]",856,W104,,1
MLPF008,"미미로린스 모먼트 래디언스 퍼퓸- 드로우 인 선셋","미미로린스 모먼트 래디언스 퍼퓸- 드로우 인 선셋 [48ml]",795,W104,,1
MLPF009,"미미로린스 모먼트 래디언스 퍼퓸- 테르","미미로린스 모먼트 래디언스 퍼퓸- 테르 [48ml]",776,W104,,1
MLPG001,"미미로린스 모먼트 퍼퓸- 시트러스 베르가미아","미미로린스 모먼트 퍼퓸- 시트러스 베르가미아 [15ml]",-15,W104,,1
MLPG002,"미미로린스 모먼트 퍼퓸- 멜리플루어스","미미로린스 모먼트 퍼퓸- 멜리플루어스 [15ml]",13,W104,,1
MLPG003,"미미로린스 모먼트 퍼퓸- 스칼렛","미미로린스 모먼트 퍼퓸- 스칼렛 [15ml]",82,W104,,1
MLPG004,"미미로린스 모먼트 퍼퓸- 프루티쥬시","미미로린스 모먼트 퍼퓸- 프루티쥬시 [15ml]",164,W104,,1
MLPG005,"미미로린스 모먼트 퍼퓸- 우드세이지","미미로린스 모먼트 퍼퓸- 우드세이지 [15ml]",2811,W104,,1
